ogc_fid,molen_dbnr,ten_brugge,molen_naam,bouwjaar_1,bouwjaar_2,verdwenen1,verdwenen2,status,type,functie,aandrijvin,infolink,hoofdcat,numeriek
1,1053,1,Mijndensche Molen,1733,,1923,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00001,poldermolen,1
2,1035,2,De Oudstrijder,1669,,1937,,verdwenen,wipmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00002,industriemolen,2
3,5765,4,Achterafse Polder,1832,,1930,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00004,poldermolen,1
4,4558,6,"Polder Kortenhoef, Middelste molen",1704,,1942,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00006,poldermolen,1
5,1718,8,Molen van Faas/ De Dommekracht,1858,,1936,,verdwenen,stellingmolen,"zaagmolen, korenmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00008,industriemolen,2
6,5847,9,Rottepolder (2e),1832,,1923,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00009,poldermolen,1
7,1715,10,De Liedemolen/ De Lie,1556,,1927,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00010,poldermolen,1
8,344,11,"Veerpolder, De Veermolen",1701,,1998,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00011,poldermolen,1
9,1564,14,"Kalslagerpolder, De Moordmolen/ Kalslagermolen",1639,,1927,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00014,poldermolen,1
10,1079,15,Buitendijkse Oosterpolder,1800,,1925,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00015,poldermolen,1
11,1080,16,Buitendijkse Westerpolder/ Oude Wester Polder,1849,,1927,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00016,poldermolen,1
12,8587,17,De Afdamming/ Geerpolder,1892,,1924,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00017,poldermolen,1
13,1342,18,De Fortuin,1800,,1935,,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00018,industriemolen,2
14,392,20,"De Ronde Veenen, Wilnissermolen (2e)",1817,,1925,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00020,poldermolen,1
15,1068,22,"De Ronde Veenen, Oudhuizermolen",1782,,1925,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00022,poldermolen,1
16,526,25,Polder Portengen-Zuidzijde,1650,of eerder,1926,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00025,poldermolen,1
17,1034,27,Polder Otterspoorbroek,1492,,1927,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00027,poldermolen,1
18,2022,30,"Uitgeester- en Heemskerkerbroek, De Eerste Broekermolen (2e)",1857,,1930,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00030,poldermolen,1
19,2370,31,"Polder De Zien, De Kat",1889,,1971,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00031,poldermolen,1
20,1651,34,"Hempolder, De Stemmer",1680,voor,1929,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00034,poldermolen,1
21,1649,35,Binnengeesterpolder,1832,,1928,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00035,poldermolen,1
22,3956,36,De Oude Knegt,1817,,1925,,verdwenen,grondzeiler,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00036,industriemolen,2
23,1654,38,"Zwartedijkspolder, het Zwarte Molentje",1832,voor,1931,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00038,poldermolen,1
24,519,40,De Haarmolen/ De Haar/ Haer Core Mole,1615,"of eerder; 1674 verwoest, ca. 1680 herbouwd",1910,,verdwenen,wipmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00040,industriemolen,2
25,1070,43,De Zwaluw,1880,,1928,,verdwenen,stellingmolen,zaagmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00043,industriemolen,2
26,2369,44,Polder Rietveld,1709,,1927,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00044,poldermolen,1
27,2078,47,Dam- of Binnenpolder/ Dammolen,1672,,1927,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00047,poldermolen,1
28,2076,48,De Palmboom,1871,,1927,,verdwenen,stellingmolen,zaagmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00048,industriemolen,2
29,5497,57,"Hoogewaardsche Polder, Hogewaardsemolen",1687,,1924,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00057,poldermolen,1
30,8112,58,"Hoornsche Polder, De Hoornsemolen",0,onbekend,1929,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00058,poldermolen,1
31,1964,59,Oostbuurtpolder of Oostbuursterpolder,1832,,1960,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00059,poldermolen,1
32,1895,63,"Bent- en Delf of Generale polder, Langelandse Molen",1761,,1939,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00063,poldermolen,1
33,537,65,De Steenenmolen/ Molen Rembrandt (2e),1856,herbouwd,1921,,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00065,industriemolen,2
34,1434,66,Meerburgermolen,1684,,2007,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00066,poldermolen,1
35,5959,67,"Kalkpolder, Kalkmolen",1685,,2006,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00067,poldermolen,1
36,514,68,De Stier,1687,,1931,,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00068,industriemolen,2
37,2598,70,Stadsmolen Nr. 1 (3e),1856,,1979,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00070,poldermolen,1
38,1546,72,Polder Het Bonte Kriel/ De Bonte Kriel,1796,,1924,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00072,poldermolen,1
39,8877,73,Beekpolder,1901,,1929,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00073,poldermolen,1
40,2250,74,De Rode Molen/De Roode Molen,1832,,1930,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00074,poldermolen,1
41,3649,75,Polder Warmonderdam/ Warmonderdam en Alkemaderpolder,1647,,1955,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00075,poldermolen,1
42,669,76,"Klinkenbergerpolder, Klinkenbergermolen (3e)",1809,,1938,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00076,poldermolen,1
43,2517,77,"Elsgeestpolder, Zelden van Passe",1690,,1936,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00077,poldermolen,1
44,2721,78,"Polder Kamphuizen, Hoop Doet Leven",1774,,1999,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00078,poldermolen,1
45,2840,79,"Ommedijksepolder, Pijzelmolen/Peijzer watermolen",1708,,1934,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00079,poldermolen,1
46,578,81,"Papenwegsepolder, Papemolen/ Papenwegsemolen",1738,,1950,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00081,poldermolen,1
47,1431,82,Zuidwijksemolen (1e),1700,,1972,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00082,poldermolen,1
48,2523,83,"Oostdorper- en Huis ter Weerpolder, Oostdorpermolen",1718,,1940,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00083,poldermolen,1
49,1072,87,Wijkerbroekspolder,1848,,1924,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00087,poldermolen,1
50,857,89,De Klomp/ 't Klompje,1855,,1956,,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00089,industriemolen,2
51,17085,90,(weidemolen),1910,,1924,,verdwenen,weidemolen,weidemolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00090,industriemolen,2
52,2129,93,Windlust/ Molen van Looyen,1880,,1945,,verdwenen,stellingmolen,"korenmolen, boekweitmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00093,industriemolen,2
53,828,94,Puurveense molen (2e),1857,,1964,,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00094,industriemolen,2
54,350,96,Molen Royaards,1417,"-1429; 1482 verbrand, 1483 herbouwd",1945,,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00096,industriemolen,2
55,773,100,Molen van Oskam,1856,,1935,,verdwenen,stellingmolen,"korenmolen, runmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00100,industriemolen,2
56,810,103,De Korenbloem/ De Koornboem/ Het Verlorenkost,1751,,1926,,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00103,industriemolen,2
57,849,105,De Vier Winden,1829,,1926,,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00105,industriemolen,2
58,1036,106,De Hoop,1899,,1932,,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00106,industriemolen,2
59,1033,109,Polder Breukelen-Proosdij,1600,voor,1942,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00109,poldermolen,1
60,901,110,"Markerpolder, De Spin",1651,,1927,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00110,poldermolen,1
61,4381,111,Bovenmolen W,1666,,1941,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00111,poldermolen,1
62,4380,112,Bovenmolen V (vh. nr. 10),1633,,1939,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00112,poldermolen,1
63,4379,113,Bovenmolen U (vh. nr. 11),1633,,1936,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00113,poldermolen,1
64,4328,114,Bovenmolen I (vh. nr. 18),1633,,1957,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00114,poldermolen,1
65,5632,115,Bovenmolen H (vh. nr. 19),1633,,1936,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00115,poldermolen,1
66,4378,117,Middelmolen T (vh. nr. 12),1633,,1936,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00117,poldermolen,1
67,4377,118,Middelmolen S (vh. nr. 14),1633,,1931,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00118,poldermolen,1
68,4376,119,Middelmolen R (vh.  nr. 15),1633,,1932,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00119,poldermolen,1
69,4375,120,Middelmolen Q (vh. nr. 16),1633,,1931,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00120,poldermolen,1
70,4374,121,Middelmolen P (vh. nr. 17),1633,,1936,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00121,poldermolen,1
71,4373,123,Ondermolen N,1638,,1930,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00123,poldermolen,1
72,4329,124,Ondermolen M,1634,,1934,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00124,poldermolen,1
73,4372,125,Ondermolen L,1634,,1930,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00125,poldermolen,1
74,4370,127,Bovenmolen F,1636,,1936,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00127,poldermolen,1
75,4361,131,Bovenmolen 11 (vh. nr. 21),1633,,1930,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00131,poldermolen,1
76,4360,132,Bovenmolen 10 (vh. nr. 22),1633,,1932,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00132,poldermolen,1
77,4354,133,Bovenmolen 4 (vh. nr. 29),1633,,1933,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00133,poldermolen,1
78,4353,134,Bovenmolen 3 (vh. nr. 30),1633,,1935,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00134,poldermolen,1
79,4352,135,Bovenmolen 2 (vh. nr. 31),1633,,1933,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00135,poldermolen,1
80,4350,136,Bovenmolen 1,1666,,1931,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00136,poldermolen,1
81,4359,137,Middelmolen 9 (vh. nr. 24),1633,,1934,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00137,poldermolen,1
82,4358,138,Middelmolen 8 (vh. nr. 25),1633,,1938,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00138,poldermolen,1
83,4357,139,Middelmolen 7 (vh. nr. 26),1633,,1938,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00139,poldermolen,1
84,4356,140,Middelmolen 6 (vh. nr. 27),1633,,1934,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00140,poldermolen,1
85,4355,141,Middelmolen 5 (vh. nr. 28),1633,,1930,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00141,poldermolen,1
86,4366,142,Ondermolen 12,1652,,1928,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00142,poldermolen,1
87,4364,143,Ondermolen 13,1634,,1966,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00143,poldermolen,1
88,4365,144,Ondermolen 14,1636,,1931,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00144,poldermolen,1
89,4362,145,Ondermolen 15,1634,,1931,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00145,poldermolen,1
90,4367,146,Ondermolen 16,1636,,1930,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00146,poldermolen,1
91,4382,147,Poldermolen A,1651,,1931,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00147,poldermolen,1
92,4383,148,Poldermolen B,1636,,1937,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00148,poldermolen,1
93,4384,149,Poldermolen C,1635,,1948,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00149,poldermolen,1
94,4385,152,Poldermolen F,1636,,1939,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00152,poldermolen,1
95,4386,153,Poldermolen Boven GH,1637,,1938,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00153,poldermolen,1
96,4363,154,Poldermolen G/ Beneden GH,1635,,1928,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00154,poldermolen,1
97,4387,155,Poldermolen I,1634,,1931,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00155,poldermolen,1
98,4388,157,Poldermolen L,1634,,1936,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00157,poldermolen,1
99,4389,159,Poldermolen N,1635,,1930,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00159,poldermolen,1
100,4390,161,De Matten,1832,,1929,,verdwenen,weidemolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00161,poldermolen,1
101,6679,165,"Wogmeer, zuidelijke bovenmolen",1608,,1923,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00165,poldermolen,1
102,4371,169,Strijkmolen H (bij Rustenburg),1627,,1921,,verdwenen,grondzeiler,boezemmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00169,industriemolen,2
103,1374,171,Zaagmolen van de Heerhugowaard,1684,,1940,,verdwenen,wipmolen,zaagmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00171,industriemolen,2
104,4916,172,Strijkmolen F (achter Oudorp),1631,,1941,,verdwenen,grondzeiler,boezemmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00172,industriemolen,2
105,2280,173,Strijkmolen G (achter Oudorp),1631,,1941,,verdwenen,grondzeiler,boezemmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00173,industriemolen,2
106,4890,174,"Strijkmolen (3e, achter Oudorp)",1631,,1941,,verdwenen,grondzeiler,boezemmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00174,industriemolen,2
107,8442,176,"Polder Oudorp, onderbemaling",1855,,1930,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00176,poldermolen,1
108,1655,177,Kraspolder,1832,voor,1936,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00177,poldermolen,1
109,1659,180,(bergmolen),1887,,1959,,verdwenen,beltmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00180,industriemolen,2
119,5150,205,Molen van Boom/van Van Lamerichs <i>2e</i>,1869,,1936,,verdwenen,beltmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00205,industriemolen,2
120,964,207,Molen Hilkens,1872,,1939,,verdwenen,beltmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00207,industriemolen,2
123,12686,213,De Grauwe Beer,1891,,1981,,verdwenen,beltmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00213,industriemolen,2
124,2090,214,De Theele meule,1799,,1950,,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00214,industriemolen,2
125,1881,216,Molen van Jacobs,1718,,1944,,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00216,industriemolen,2
126,943,217,Molen van Gebr. Betteraay,1801,,1944,,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00217,industriemolen,2
127,4990,218,Molen van Baarlo,1875,,1944,,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00218,industriemolen,2
128,954,219,Molen van Peeters-Rooyackers/ Pero-molen,1882,,1944,,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00219,industriemolen,2
129,8216,220,Molen van familie Peters,1867,,1944,,verdwenen,beltmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00220,industriemolen,2
130,1933,221,Heerlijkheidsmolen,1404,,1923,,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00221,industriemolen,2
131,948,222,Molen van Op de Laak/ Bakensmolen,1892,,1936,,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00222,industriemolen,2
132,1250,223,Heerlijkheids-windmolen,1800,,1937,,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00223,industriemolen,2
133,1261,225,Te Goeder Trouw,1833,,1944,,verdwenen,grondzeiler,"korenmolen, pelmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00225,industriemolen,2
134,448,227,De kasteelmolen 'Het Kasteel',1700,of later,1949,,verdwenen,watermolen,"korenmolen, runmolen",watermolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00227,watermolen,4
135,4960,228,Molen van Blitterswijck,1843,,1944,,verdwenen,grondzeiler,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00228,industriemolen,2
136,2219,230,De Groeningse- of Vierlingsbeekse molen,1828,,1944,,verdwenen,grondzeiler,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00230,industriemolen,2
137,12199,231,Korenmolen van Vortum,1868,,1944,,verdwenen,beltmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00231,industriemolen,2
138,604,234,De Heidebloem,1660,,1955,,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00234,industriemolen,2
139,12211,235,Molen van Van der Eijken,1888,,1914,,verdwenen,beltmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00235,industriemolen,2
140,310,236,De Hoop,1832,,1954,,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00236,industriemolen,2
141,1371,240,De Haan/ De Bokmolen,1634,,1924,,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00240,industriemolen,2
142,4681,241,"Polder Purmerland, De Jonge Bloem/ Molen van Muis",1857,,1942,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00241,poldermolen,1
143,15476,243,De Nachtegaal,1669,,2011,,verdwenen,grondzeiler,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00243,industriemolen,2
144,1675,244,De Hoop,1632,,1928,,verdwenen,grondzeiler,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00244,industriemolen,2
145,1399,246,De Vergulde Korenaar/ Molen van Kuin,1750,na,1950,,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00246,industriemolen,2
146,1646,247,De Hoop/ De Rob,1887,ca.,1924,,verdwenen,stellingmolen,zaagmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00247,industriemolen,2
147,942,248,"Oudegeinsepolder, Oudegeinse Poldermolen",1640,,1993,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00248,poldermolen,1
148,775,249,(korenmolen),1855,,1975,,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00249,industriemolen,2
149,2064,251,Dorpspolder Enspijk,1607,,1951,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00251,poldermolen,1
150,821,252,Haaftense Poldermolen,1551,,1814,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00252,poldermolen,1
151,2105,253,"Polder Deil, Deilsche Watermolen",1832,,1926,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00253,poldermolen,1
152,12121,254,"Polder Deil, zuidelijke molen",1832,,1930,,verdwenen,grondzeiler,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00254,poldermolen,1
153,12212,255,De Haas,1913,,1931,,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00255,industriemolen,2
154,12213,256,Polder Tricht (Z),1664,,1926,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00256,poldermolen,1
155,12214,257,Polder Tricht (N),1664,,1926,,verdwenen,wipmolen,poldermolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00257,poldermolen,1
156,847,260,Molen van Aalbers,1870,na,1944,,verdwenen,beltmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00260,industriemolen,2
157,307,261,De Eendracht (2e),1907,herbouwd en verhoogd,1940,,verdwenen,beltmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00261,industriemolen,2
158,1833,263,(grondzeiler),1873,,1945,,verdwenen,grondzeiler,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00263,industriemolen,2
159,4701,264,(korenmolen),1848,,1929,,verdwenen,grondzeiler,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00264,industriemolen,2
160,814,265,De Batavier/ De Planken Molen,1708,,1937,,verdwenen,standerdmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00265,industriemolen,2
