ogc_fid,molen_dbnr,ten_brugge,molen_naam,bouwjaar_1,bouwjaar_2,verdwenen1,verdwenen2,status,type,functie,aandrijvin,infolink,hoofdcat,numeriek
277,25,481,De Nijverheid/ Molen van Büchli,1851,,1955,onttakeld; 1987 restant gesloopt,verdwenen,stellingmolen,"korenmolen, pelmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00481,industriemolen,2
278,12,484,Lutje Meulen/ Molen K. Huizinga,1737,of eerder,1956,gedeeltelijk gesloopt,verdwenen,stellingmolen,"korenmolen, pelmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00484,industriemolen,2
279,5279,485,De Fortuin (2e),1829,,1928,,verdwenen,stellingmolen,"zaagmolen, oliemolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00485,industriemolen,2
280,1091,487,De Vrije Wind (3e),1898,,1923,,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00487,industriemolen,2
281,5280,488,Molen van Kolk/ Balkema/ Nienhuis,1856,,1933,,verdwenen,stellingmolen,"korenmolen, pelmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00488,industriemolen,2
282,4855,490,De Hoop,1861,,1934,,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00490,industriemolen,2
283,23,491,De Windlust/ Molen van Leegte,1889,,1955,verbrand,verdwenen,stellingmolen,"korenmolen, pelmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00491,industriemolen,2
284,5038,494,Eureka/ Molen van Offeringa,1840,,1927,,verdwenen,stellingmolen,"korenmolen, pelmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00494,industriemolen,2
285,3040,499,Aurora,1849,,1931,,verdwenen,stellingmolen,"korenmolen, pelmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00499,industriemolen,2
286,492,500,De Zwaluw,1886,,1950,,verdwenen,stellingmolen,korenmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00500,industriemolen,2
287,3028,501,De Hoop,1881,,1950,,verdwenen,stellingmolen,"korenmolen, pelmolen",windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00501,industriemolen,2
288,491,502,Simson,1819,/ 1829,1937,,verdwenen,stellingmolen,pelmolen,windmolen,https://www.molendatabase.org/molendb.php?step=details&tbnummer=00502,industriemolen,2
